Soloist time: 0.19, Predicted time: 0.19, Accompanist time: 0.14, Playback rate: 1.00
Soloist time: 8.17, Predicted time: 8.17, Accompanist time: 8.13, Playback rate: 1.00
Soloist time: 8.36, Predicted time: 8.36, Accompanist time: 8.31, Playback rate: 1.00
Soloist time: 8.54, Predicted time: 8.54, Accompanist time: 8.50, Playback rate: 1.00
Soloist time: 8.73, Predicted time: 8.73, Accompanist time: 8.68, Playback rate: 1.00
Soloist time: 8.92, Predicted time: 8.92, Accompanist time: 8.87, Playback rate: 1.00
Soloist time: 9.10, Predicted time: 9.10, Accompanist time: 9.06, Playback rate: 1.00
Soloist time: 9.29, Predicted time: 9.29, Accompanist time: 9.24, Playback rate: 1.00
Soloist time: 9.47, Predicted time: 9.47, Accompanist time: 9.43, Playback rate: 1.00
Soloist time: 9.66, Predicted time: 9.66, Accompanist time: 9.61, Playback rate: 1.01
Soloist time: 9.85, Predicted time: 9.66, Accompanist time: 9.80, Playback rate: 0.97
Soloist time: 10.03, Predicted time: 10.03, Accompanist time: 9.98, Playback rate: 1.02
Soloist time: 10.22, Predicted time: 10.03, Accompanist time: 10.17, Playback rate: 0.97
Soloist time: 10.40, Predicted time: 10.22, Accompanist time: 10.35, Playback rate: 0.97
Soloist time: 10.59, Predicted time: 10.59, Accompanist time: 10.53, Playback rate: 1.02
Soloist time: 10.77, Predicted time: 10.77, Accompanist time: 10.72, Playback rate: 1.01
Soloist time: 10.96, Predicted time: 10.96, Accompanist time: 10.91, Playback rate: 1.01
Soloist time: 11.15, Predicted time: 11.15, Accompanist time: 11.09, Playback rate: 1.01
Soloist time: 11.33, Predicted time: 11.33, Accompanist time: 11.28, Playback rate: 1.01
Soloist time: 11.52, Predicted time: 11.52, Accompanist time: 11.47, Playback rate: 1.01
Soloist time: 11.70, Predicted time: 11.70, Accompanist time: 11.66, Playback rate: 1.01
Soloist time: 11.89, Predicted time: 11.89, Accompanist time: 11.84, Playback rate: 1.01
Soloist time: 12.07, Predicted time: 12.26, Accompanist time: 12.03, Playback rate: 1.05
Soloist time: 12.26, Predicted time: 12.45, Accompanist time: 12.23, Playback rate: 1.05
Soloist time: 12.45, Predicted time: 12.63, Accompanist time: 12.42, Playback rate: 1.04
Soloist time: 12.63, Predicted time: 12.82, Accompanist time: 12.62, Playback rate: 1.04
Soloist time: 12.82, Predicted time: 13.00, Accompanist time: 12.81, Playback rate: 1.04
Soloist time: 13.00, Predicted time: 13.19, Accompanist time: 13.00, Playback rate: 1.04
Soloist time: 13.19, Predicted time: 13.56, Accompanist time: 13.19, Playback rate: 1.08
Soloist time: 13.37, Predicted time: 13.56, Accompanist time: 13.40, Playback rate: 1.03
Soloist time: 13.56, Predicted time: 13.93, Accompanist time: 13.59, Playback rate: 1.07
Soloist time: 13.75, Predicted time: 13.93, Accompanist time: 13.79, Playback rate: 1.02
Soloist time: 13.93, Predicted time: 14.12, Accompanist time: 13.98, Playback rate: 1.03
Soloist time: 14.12, Predicted time: 14.30, Accompanist time: 14.17, Playback rate: 1.03
Soloist time: 14.30, Predicted time: 14.49, Accompanist time: 14.36, Playback rate: 1.03
Soloist time: 14.49, Predicted time: 14.68, Accompanist time: 14.55, Playback rate: 1.03
Soloist time: 14.68, Predicted time: 14.86, Accompanist time: 14.74, Playback rate: 1.03
Soloist time: 14.86, Predicted time: 15.05, Accompanist time: 14.93, Playback rate: 1.02
Soloist time: 15.05, Predicted time: 15.23, Accompanist time: 15.12, Playback rate: 1.02
Soloist time: 15.23, Predicted time: 15.42, Accompanist time: 15.31, Playback rate: 1.02
Soloist time: 15.42, Predicted time: 15.60, Accompanist time: 15.50, Playback rate: 1.02
Soloist time: 15.60, Predicted time: 15.60, Accompanist time: 15.69, Playback rate: 0.98
Soloist time: 15.79, Predicted time: 15.98, Accompanist time: 15.87, Playback rate: 1.03
Soloist time: 15.98, Predicted time: 16.35, Accompanist time: 16.06, Playback rate: 1.06
Soloist time: 16.16, Predicted time: 16.53, Accompanist time: 16.26, Playback rate: 1.06
Soloist time: 16.35, Predicted time: 16.72, Accompanist time: 16.46, Playback rate: 1.05
Soloist time: 16.53, Predicted time: 16.90, Accompanist time: 16.65, Playback rate: 1.05
Soloist time: 16.72, Predicted time: 16.90, Accompanist time: 16.85, Playback rate: 1.05
Soloist time: 16.90, Predicted time: 17.09, Accompanist time: 17.04, Playback rate: 1.01
Soloist time: 17.09, Predicted time: 17.28, Accompanist time: 17.23, Playback rate: 1.01
Soloist time: 17.28, Predicted time: 17.28, Accompanist time: 17.42, Playback rate: 0.97
Soloist time: 17.46, Predicted time: 17.28, Accompanist time: 17.60, Playback rate: 0.93
Soloist time: 17.65, Predicted time: 17.46, Accompanist time: 17.77, Playback rate: 0.93
Soloist time: 17.83, Predicted time: 17.46, Accompanist time: 17.94, Playback rate: 0.90
Soloist time: 18.02, Predicted time: 17.46, Accompanist time: 18.11, Playback rate: 0.87
Soloist time: 18.20, Predicted time: 17.65, Accompanist time: 18.27, Playback rate: 0.87
Soloist time: 18.39, Predicted time: 17.65, Accompanist time: 18.43, Playback rate: 0.84
Soloist time: 18.58, Predicted time: 17.65, Accompanist time: 18.59, Playback rate: 0.81
Soloist time: 18.76, Predicted time: 17.83, Accompanist time: 18.74, Playback rate: 0.82
Soloist time: 18.95, Predicted time: 17.83, Accompanist time: 18.89, Playback rate: 0.78
Soloist time: 19.13, Predicted time: 17.83, Accompanist time: 19.04, Playback rate: 0.78
Soloist time: 19.32, Predicted time: 18.02, Accompanist time: 19.18, Playback rate: 0.77
Soloist time: 19.50, Predicted time: 18.02, Accompanist time: 19.33, Playback rate: 0.73
Soloist time: 19.69, Predicted time: 18.20, Accompanist time: 19.46, Playback rate: 0.75
Soloist time: 19.88, Predicted time: 18.20, Accompanist time: 19.60, Playback rate: 0.75
Soloist time: 20.06, Predicted time: 18.76, Accompanist time: 19.74, Playback rate: 0.81
Soloist time: 20.25, Predicted time: 19.32, Accompanist time: 19.89, Playback rate: 0.90
Soloist time: 20.43, Predicted time: 19.88, Accompanist time: 20.06, Playback rate: 0.97
Soloist time: 20.62, Predicted time: 20.43, Accompanist time: 20.24, Playback rate: 1.05
Soloist time: 20.81, Predicted time: 20.99, Accompanist time: 20.43, Playback rate: 1.12
Soloist time: 20.99, Predicted time: 21.36, Accompanist time: 20.64, Playback rate: 1.15
Soloist time: 21.18, Predicted time: 21.73, Accompanist time: 20.85, Playback rate: 1.15
Soloist time: 21.36, Predicted time: 21.92, Accompanist time: 21.07, Playback rate: 1.17
Soloist time: 21.55, Predicted time: 22.11, Accompanist time: 21.28, Playback rate: 1.17
Soloist time: 21.73, Predicted time: 22.29, Accompanist time: 21.50, Playback rate: 1.16
Soloist time: 21.92, Predicted time: 22.48, Accompanist time: 21.72, Playback rate: 1.15
Soloist time: 22.11, Predicted time: 22.66, Accompanist time: 21.93, Playback rate: 1.15
Soloist time: 22.29, Predicted time: 23.03, Accompanist time: 22.14, Playback rate: 1.18
Soloist time: 22.48, Predicted time: 23.22, Accompanist time: 22.36, Playback rate: 1.18
Soloist time: 22.66, Predicted time: 23.41, Accompanist time: 22.58, Playback rate: 1.16
Soloist time: 22.85, Predicted time: 23.41, Accompanist time: 22.80, Playback rate: 1.12
Soloist time: 23.03, Predicted time: 23.59, Accompanist time: 23.01, Playback rate: 1.12
Soloist time: 23.22, Predicted time: 23.78, Accompanist time: 23.21, Playback rate: 1.11
Soloist time: 23.41, Predicted time: 23.96, Accompanist time: 23.42, Playback rate: 1.11
Soloist time: 23.59, Predicted time: 24.15, Accompanist time: 23.63, Playback rate: 1.10
Soloist time: 23.78, Predicted time: 24.33, Accompanist time: 23.83, Playback rate: 1.10
Soloist time: 23.96, Predicted time: 24.89, Accompanist time: 24.04, Playback rate: 1.18
Soloist time: 24.15, Predicted time: 25.08, Accompanist time: 24.26, Playback rate: 1.16
Soloist time: 24.33, Predicted time: 25.08, Accompanist time: 24.47, Playback rate: 1.12
Soloist time: 24.52, Predicted time: 25.26, Accompanist time: 24.68, Playback rate: 1.12
Soloist time: 24.71, Predicted time: 25.26, Accompanist time: 24.89, Playback rate: 1.07
Soloist time: 24.89, Predicted time: 25.45, Accompanist time: 25.09, Playback rate: 1.07
Soloist time: 25.08, Predicted time: 25.45, Accompanist time: 25.29, Playback rate: 1.03
Soloist time: 25.26, Predicted time: 25.45, Accompanist time: 25.48, Playback rate: 0.99
Soloist time: 25.45, Predicted time: 25.63, Accompanist time: 25.66, Playback rate: 1.00
Soloist time: 25.63, Predicted time: 25.63, Accompanist time: 25.85, Playback rate: 0.95
Soloist time: 25.82, Predicted time: 25.63, Accompanist time: 26.02, Playback rate: 0.92
Soloist time: 26.01, Predicted time: 25.82, Accompanist time: 26.19, Playback rate: 0.93
Soloist time: 26.19, Predicted time: 25.82, Accompanist time: 26.37, Playback rate: 0.93
Soloist time: 26.38, Predicted time: 25.82, Accompanist time: 26.54, Playback rate: 0.85
Soloist time: 26.56, Predicted time: 26.01, Accompanist time: 26.70, Playback rate: 0.86
Soloist time: 26.75, Predicted time: 26.01, Accompanist time: 26.86, Playback rate: 0.83
Soloist time: 26.94, Predicted time: 26.01, Accompanist time: 27.01, Playback rate: 0.83
Soloist time: 27.12, Predicted time: 26.19, Accompanist time: 27.16, Playback rate: 0.80
Soloist time: 27.31, Predicted time: 26.19, Accompanist time: 27.31, Playback rate: 0.77
Soloist time: 27.49, Predicted time: 26.19, Accompanist time: 27.46, Playback rate: 0.74
Soloist time: 27.68, Predicted time: 26.38, Accompanist time: 27.60, Playback rate: 0.76
Soloist time: 27.86, Predicted time: 26.38, Accompanist time: 27.74, Playback rate: 0.76
Soloist time: 28.05, Predicted time: 26.38, Accompanist time: 27.88, Playback rate: 0.70
Soloist time: 28.24, Predicted time: 26.56, Accompanist time: 28.01, Playback rate: 0.71
Soloist time: 28.42, Predicted time: 26.56, Accompanist time: 28.14, Playback rate: 0.68
Soloist time: 28.61, Predicted time: 26.56, Accompanist time: 28.26, Playback rate: 0.68
Soloist time: 28.79, Predicted time: 26.75, Accompanist time: 28.39, Playback rate: 0.67
Soloist time: 28.98, Predicted time: 26.94, Accompanist time: 28.52, Playback rate: 0.67
Soloist time: 29.16, Predicted time: 27.49, Accompanist time: 28.64, Playback rate: 0.77
Soloist time: 29.35, Predicted time: 28.05, Accompanist time: 28.78, Playback rate: 0.86
Soloist time: 29.54, Predicted time: 28.61, Accompanist time: 28.94, Playback rate: 0.94
Soloist time: 29.72, Predicted time: 29.16, Accompanist time: 29.12, Playback rate: 1.02
Soloist time: 29.91, Predicted time: 29.72, Accompanist time: 29.31, Playback rate: 1.09
Soloist time: 30.09, Predicted time: 30.28, Accompanist time: 29.51, Playback rate: 1.09
Soloist time: 30.28, Predicted time: 30.84, Accompanist time: 29.71, Playback rate: 1.23
Soloist time: 30.46, Predicted time: 31.39, Accompanist time: 29.94, Playback rate: 1.30
Soloist time: 30.65, Predicted time: 31.76, Accompanist time: 30.18, Playback rate: 1.32
Soloist time: 30.84, Predicted time: 31.95, Accompanist time: 30.43, Playback rate: 1.30
Soloist time: 31.02, Predicted time: 32.14, Accompanist time: 30.67, Playback rate: 1.29
Soloist time: 31.21, Predicted time: 32.32, Accompanist time: 30.91, Playback rate: 1.28
Soloist time: 31.39, Predicted time: 32.51, Accompanist time: 31.15, Playback rate: 1.28
Soloist time: 31.58, Predicted time: 32.69, Accompanist time: 31.38, Playback rate: 1.26
Soloist time: 31.76, Predicted time: 32.69, Accompanist time: 31.62, Playback rate: 1.26
Soloist time: 31.95, Predicted time: 32.88, Accompanist time: 31.85, Playback rate: 1.20
Soloist time: 32.14, Predicted time: 33.07, Accompanist time: 32.08, Playback rate: 1.20
Soloist time: 32.32, Predicted time: 33.25, Accompanist time: 32.30, Playback rate: 1.20
Soloist time: 32.51, Predicted time: 33.81, Accompanist time: 32.52, Playback rate: 1.26
Soloist time: 32.69, Predicted time: 34.37, Accompanist time: 32.76, Playback rate: 1.33
Soloist time: 32.88, Predicted time: 34.92, Accompanist time: 33.00, Playback rate: 1.39
Soloist time: 33.07, Predicted time: 35.48, Accompanist time: 33.26, Playback rate: 1.45
Soloist time: 33.25, Predicted time: 36.04, Accompanist time: 33.53, Playback rate: 1.51
Soloist time: 33.44, Predicted time: 36.22, Accompanist time: 33.81, Playback rate: 1.48
Soloist time: 33.62, Predicted time: 36.22, Accompanist time: 34.09, Playback rate: 1.42
Soloist time: 33.81, Predicted time: 36.78, Accompanist time: 34.35, Playback rate: 1.42
Soloist time: 33.99, Predicted time: 37.34, Accompanist time: 34.62, Playback rate: 1.56
Soloist time: 34.18, Predicted time: 37.89, Accompanist time: 34.91, Playback rate: 1.61
Soloist time: 34.37, Predicted time: 37.89, Accompanist time: 35.20, Playback rate: 1.54
Soloist time: 34.55, Predicted time: 38.45, Accompanist time: 35.49, Playback rate: 1.61
Soloist time: 34.74, Predicted time: 38.64, Accompanist time: 35.79, Playback rate: 1.61
Soloist time: 34.92, Predicted time: 38.64, Accompanist time: 36.09, Playback rate: 1.51
Soloist time: 35.11, Predicted time: 39.20, Accompanist time: 36.37, Playback rate: 1.58
Soloist time: 35.29, Predicted time: 39.75, Accompanist time: 36.66, Playback rate: 1.58
Soloist time: 35.48, Predicted time: 40.12, Accompanist time: 36.95, Playback rate: 1.65
Soloist time: 35.67, Predicted time: 40.68, Accompanist time: 37.26, Playback rate: 1.70
Soloist time: 35.85, Predicted time: 40.87, Accompanist time: 37.58, Playback rate: 1.66
Soloist time: 36.04, Predicted time: 41.05, Accompanist time: 37.89, Playback rate: 1.66
Soloist time: 36.22, Predicted time: 41.24, Accompanist time: 38.19, Playback rate: 1.62
Soloist time: 36.41, Predicted time: 41.61, Accompanist time: 38.49, Playback rate: 1.64
Soloist time: 36.59, Predicted time: 41.61, Accompanist time: 38.80, Playback rate: 1.64
Soloist time: 36.78, Predicted time: 41.98, Accompanist time: 39.10, Playback rate: 1.59
Soloist time: 36.97, Predicted time: 42.17, Accompanist time: 39.40, Playback rate: 1.56
Soloist time: 37.15, Predicted time: 42.72, Accompanist time: 39.69, Playback rate: 1.63
Soloist time: 37.34, Predicted time: 43.28, Accompanist time: 39.99, Playback rate: 1.68
Soloist time: 37.52, Predicted time: 43.65, Accompanist time: 40.30, Playback rate: 1.69
Soloist time: 37.71, Predicted time: 43.84, Accompanist time: 40.62, Playback rate: 1.69
Soloist time: 37.89, Predicted time: 44.03, Accompanist time: 40.93, Playback rate: 1.63
Soloist time: 38.08, Predicted time: 44.21, Accompanist time: 41.23, Playback rate: 1.63
Soloist time: 38.27, Predicted time: 44.40, Accompanist time: 41.54, Playback rate: 1.59
Soloist time: 38.45, Predicted time: 44.58, Accompanist time: 41.83, Playback rate: 1.57
Soloist time: 38.64, Predicted time: 44.77, Accompanist time: 42.12, Playback rate: 1.57
Soloist time: 38.82, Predicted time: 44.95, Accompanist time: 42.41, Playback rate: 1.52
Soloist time: 39.01, Predicted time: 45.14, Accompanist time: 42.69, Playback rate: 1.52
Soloist time: 39.20, Predicted time: 45.33, Accompanist time: 42.98, Playback rate: 1.49
Soloist time: 39.38, Predicted time: 45.51, Accompanist time: 43.25, Playback rate: 1.47
Soloist time: 39.57, Predicted time: 45.70, Accompanist time: 43.53, Playback rate: 1.45
Soloist time: 39.75, Predicted time: 45.88, Accompanist time: 43.80, Playback rate: 1.44
Soloist time: 39.94, Predicted time: 46.07, Accompanist time: 44.06, Playback rate: 1.42
Soloist time: 40.12, Predicted time: 46.25, Accompanist time: 44.33, Playback rate: 1.42
Soloist time: 40.31, Predicted time: 46.44, Accompanist time: 44.59, Playback rate: 1.39
Soloist time: 40.50, Predicted time: 46.63, Accompanist time: 44.85, Playback rate: 1.38
Soloist time: 40.68, Predicted time: 47.00, Accompanist time: 45.10, Playback rate: 1.40
Soloist time: 40.87, Predicted time: 47.18, Accompanist time: 45.36, Playback rate: 1.40
Soloist time: 41.05, Predicted time: 47.37, Accompanist time: 45.63, Playback rate: 1.37
Soloist time: 41.24, Predicted time: 47.74, Accompanist time: 45.88, Playback rate: 1.37
Soloist time: 41.42, Predicted time: 48.30, Accompanist time: 46.13, Playback rate: 1.46
Soloist time: 41.61, Predicted time: 48.85, Accompanist time: 46.41, Playback rate: 1.52
Soloist time: 41.80, Predicted time: 49.41, Accompanist time: 46.69, Playback rate: 1.58
Soloist time: 41.98, Predicted time: 49.97, Accompanist time: 46.98, Playback rate: 1.58
Soloist time: 42.17, Predicted time: 49.97, Accompanist time: 47.27, Playback rate: 1.56
Soloist time: 42.35, Predicted time: 49.97, Accompanist time: 47.57, Playback rate: 1.50
Soloist time: 42.54, Predicted time: 50.16, Accompanist time: 47.84, Playback rate: 1.49
Soloist time: 42.72, Predicted time: 50.16, Accompanist time: 48.12, Playback rate: 1.49
Soloist time: 42.91, Predicted time: 50.16, Accompanist time: 48.40, Playback rate: 1.37
Soloist time: 43.10, Predicted time: 50.34, Accompanist time: 48.65, Playback rate: 1.36
Soloist time: 43.28, Predicted time: 50.71, Accompanist time: 48.90, Playback rate: 1.39
Soloist time: 43.47, Predicted time: 50.90, Accompanist time: 49.16, Playback rate: 1.37
Soloist time: 43.65, Predicted time: 50.90, Accompanist time: 49.42, Playback rate: 1.32
Soloist time: 43.84, Predicted time: 51.08, Accompanist time: 49.66, Playback rate: 1.31
Soloist time: 44.03, Predicted time: 51.27, Accompanist time: 49.91, Playback rate: 1.31
Soloist time: 44.21, Predicted time: 51.46, Accompanist time: 50.15, Playback rate: 1.29
Soloist time: 44.40, Predicted time: 51.64, Accompanist time: 50.39, Playback rate: 1.28
Soloist time: 44.58, Predicted time: 51.83, Accompanist time: 50.63, Playback rate: 1.27
Soloist time: 44.77, Predicted time: 52.38, Accompanist time: 50.86, Playback rate: 1.34
Soloist time: 44.95, Predicted time: 52.94, Accompanist time: 51.11, Playback rate: 1.34
Soloist time: 45.14, Predicted time: 52.94, Accompanist time: 51.36, Playback rate: 1.35
Soloist time: 45.33, Predicted time: 52.94, Accompanist time: 51.61, Playback rate: 1.35
Soloist time: 45.51, Predicted time: 53.13, Accompanist time: 51.86, Playback rate: 1.28
Soloist time: 45.70, Predicted time: 53.13, Accompanist time: 52.10, Playback rate: 1.23
Soloist time: 45.88, Predicted time: 53.13, Accompanist time: 52.33, Playback rate: 1.19
Soloist time: 46.07, Predicted time: 53.31, Accompanist time: 52.55, Playback rate: 1.19
Soloist time: 46.25, Predicted time: 53.31, Accompanist time: 52.77, Playback rate: 1.14
Soloist time: 46.44, Predicted time: 53.31, Accompanist time: 52.98, Playback rate: 1.09
Soloist time: 46.63, Predicted time: 53.50, Accompanist time: 53.18, Playback rate: 1.09
Soloist time: 46.81, Predicted time: 53.50, Accompanist time: 53.39, Playback rate: 1.05
Soloist time: 47.00, Predicted time: 53.50, Accompanist time: 53.58, Playback rate: 1.01
Soloist time: 47.18, Predicted time: 53.68, Accompanist time: 53.77, Playback rate: 1.01
Soloist time: 47.37, Predicted time: 53.68, Accompanist time: 53.96, Playback rate: 0.97
Soloist time: 47.55, Predicted time: 53.68, Accompanist time: 54.14, Playback rate: 0.97
Soloist time: 47.74, Predicted time: 53.87, Accompanist time: 54.32, Playback rate: 0.94
Soloist time: 47.93, Predicted time: 53.87, Accompanist time: 54.49, Playback rate: 0.94
Soloist time: 48.11, Predicted time: 54.43, Accompanist time: 54.67, Playback rate: 0.99
Soloist time: 48.30, Predicted time: 54.98, Accompanist time: 54.85, Playback rate: 1.07
Soloist time: 48.48, Predicted time: 55.54, Accompanist time: 55.05, Playback rate: 1.07
Soloist time: 48.67, Predicted time: 55.91, Accompanist time: 55.25, Playback rate: 1.17
Soloist time: 48.85, Predicted time: 55.91, Accompanist time: 55.47, Playback rate: 1.17
Soloist time: 49.04, Predicted time: 56.10, Accompanist time: 55.68, Playback rate: 1.11
Soloist time: 49.23, Predicted time: 56.29, Accompanist time: 55.89, Playback rate: 1.11
Soloist time: 49.41, Predicted time: 56.47, Accompanist time: 56.10, Playback rate: 1.11
Soloist time: 49.60, Predicted time: 56.66, Accompanist time: 56.30, Playback rate: 1.10
Soloist time: 49.78, Predicted time: 56.84, Accompanist time: 56.51, Playback rate: 1.10
Soloist time: 49.97, Predicted time: 57.03, Accompanist time: 56.71, Playback rate: 1.10
Soloist time: 50.16, Predicted time: 57.21, Accompanist time: 56.91, Playback rate: 1.09
Soloist time: 50.34, Predicted time: 57.59, Accompanist time: 57.12, Playback rate: 1.13
Soloist time: 50.53, Predicted time: 57.77, Accompanist time: 57.33, Playback rate: 1.13
Soloist time: 50.71, Predicted time: 57.77, Accompanist time: 57.54, Playback rate: 1.08
Soloist time: 50.90, Predicted time: 57.77, Accompanist time: 57.74, Playback rate: 1.08
Soloist time: 51.08, Predicted time: 57.96, Accompanist time: 57.94, Playback rate: 1.03
Soloist time: 51.27, Predicted time: 58.51, Accompanist time: 58.13, Playback rate: 1.12
Soloist time: 51.46, Predicted time: 58.51, Accompanist time: 58.34, Playback rate: 1.12
Soloist time: 51.64, Predicted time: 58.51, Accompanist time: 58.54, Playback rate: 1.02
Soloist time: 51.83, Predicted time: 58.70, Accompanist time: 58.73, Playback rate: 1.03
Soloist time: 52.01, Predicted time: 58.89, Accompanist time: 58.92, Playback rate: 1.02
Soloist time: 52.20, Predicted time: 59.07, Accompanist time: 59.11, Playback rate: 1.02
Soloist time: 52.38, Predicted time: 59.26, Accompanist time: 59.31, Playback rate: 1.02
Soloist time: 52.57, Predicted time: 59.44, Accompanist time: 59.50, Playback rate: 1.02
Soloist time: 52.76, Predicted time: 59.63, Accompanist time: 59.68, Playback rate: 1.02
Soloist time: 52.94, Predicted time: 59.81, Accompanist time: 59.87, Playback rate: 1.02
Soloist time: 53.13, Predicted time: 60.00, Accompanist time: 60.06, Playback rate: 1.02
Soloist time: 53.31, Predicted time: 60.19, Accompanist time: 60.25, Playback rate: 1.02
Soloist time: 53.50, Predicted time: 60.37, Accompanist time: 60.44, Playback rate: 1.02
Soloist time: 53.68, Predicted time: 60.56, Accompanist time: 60.63, Playback rate: 1.02
Soloist time: 53.87, Predicted time: 60.74, Accompanist time: 60.82, Playback rate: 1.02
Soloist time: 54.06, Predicted time: 60.93, Accompanist time: 61.01, Playback rate: 1.02
Soloist time: 54.24, Predicted time: 61.11, Accompanist time: 61.20, Playback rate: 1.02
Soloist time: 54.43, Predicted time: 61.30, Accompanist time: 61.39, Playback rate: 1.01
Soloist time: 54.61, Predicted time: 61.49, Accompanist time: 61.58, Playback rate: 1.01
Soloist time: 54.80, Predicted time: 61.67, Accompanist time: 61.76, Playback rate: 1.01
Soloist time: 54.98, Predicted time: 61.86, Accompanist time: 61.95, Playback rate: 1.01
Soloist time: 55.17, Predicted time: 62.04, Accompanist time: 62.14, Playback rate: 1.01
Soloist time: 55.36, Predicted time: 62.23, Accompanist time: 62.33, Playback rate: 1.01
Soloist time: 55.54, Predicted time: 62.23, Accompanist time: 62.52, Playback rate: 0.97
Soloist time: 55.73, Predicted time: 62.42, Accompanist time: 62.70, Playback rate: 0.98
Soloist time: 55.91, Predicted time: 62.60, Accompanist time: 62.88, Playback rate: 0.98
Soloist time: 56.10, Predicted time: 62.97, Accompanist time: 63.06, Playback rate: 0.98
Soloist time: 56.29, Predicted time: 62.97, Accompanist time: 63.24, Playback rate: 0.98
Soloist time: 56.47, Predicted time: 63.16, Accompanist time: 63.42, Playback rate: 0.98
Soloist time: 56.66, Predicted time: 63.34, Accompanist time: 63.61, Playback rate: 0.98
Soloist time: 56.84, Predicted time: 63.53, Accompanist time: 63.79, Playback rate: 0.98
Soloist time: 57.03, Predicted time: 63.72, Accompanist time: 63.97, Playback rate: 0.98
Soloist time: 57.21, Predicted time: 63.90, Accompanist time: 64.15, Playback rate: 0.98
Soloist time: 57.40, Predicted time: 64.27, Accompanist time: 64.33, Playback rate: 0.98
Soloist time: 57.59, Predicted time: 64.46, Accompanist time: 64.52, Playback rate: 1.02
